row_type,dataset_type,meeting_id,candidate_model,deepeval_holistic_accuracy,deepeval_holistic_coverage,system_accuracy,system_completeness,system_coverage,holistic_accuracy_delta_vs_system,holistic_coverage_delta_vs_system,accuracy_reason,coverage_reason,candidate_path,gt_path,report_path,note
meeting_model,city_council,t_10062873984778850834470432363897468907,gpt-41-mini,0.901,0.900,0.750,0.829,0.716,+0.151,+0.184,"The Actual Output closely aligns with the Expected Output, accurately reflecting key participants, topics, and decisions such as enforcement details, safe parking programs, and public comments. It includes all major claims supported by the ground truth without fabrications or contradictions. Minor omissions include some specific data points (e.g., exact citation numbers) and slight differences in phrasing, but no unsupported certainty upgrades or extraneous claims are present.","The actual summary comprehensively covers all major topics, participants, and decisions outlined in the expected output, including detailed updates on services, enforcement data, board discussions, public comments, and specific program details such as safe parking lots and Measure C enforcement. It accurately reflects key dates, figures (e.g., $11 million investment, 43% decrease in homelessness), and decisions like the February safe parking expansion and legal considerations for residential parking permits. Minor omissions include less explicit mention of some individual participants and a few specific data points (e.g., exact citation numbers), but these do not constitute major gaps. Overall, the summary aligns strongly with the evaluation criteria, with no critical information omitted.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_10062873984778850834470432363897468907/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_10062873984778850834470432363897468907/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_10062873984778850834470432363897468907/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_10062873984778850834470432363897468907,gpt-5-mini,0.938,0.903,0.628,0.855,0.863,+0.310,+0.040,"The Actual Output closely aligns with the Expected Output, accurately reflecting meeting context, participants, topics, and decisions without fabrications or contradictions. It includes detailed summaries of all key points such as enforcement processes, safe parking expansions, and public requests. Minor differences in phrasing and some additional detail do not contradict or unjustifiably upgrade certainty, but the extensive detail slightly exceeds the concise scope of the Expected Output, warranting a small penalty.","The actual summary comprehensively includes all major facts, key actions, and decisions from the expected output, such as the February 14 Shoreline Lot B expansion, residential parking permit legal reviews, enforcement processes, and public requests. Dates and quantities like the 346 PIT count and 17 parking spaces are accurately reflected. Minor omissions include less explicit mention of some participant names and a few detailed enforcement statistics, but these do not significantly detract from overall alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_10062873984778850834470432363897468907/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_10062873984778850834470432363897468907/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_10062873984778850834470432363897468907/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_10062873984778850834470432363897468907,gpt-51,0.988,0.978,0.723,0.913,0.841,+0.265,+0.137,"The Actual Output comprehensively aligns with the Expected Output, accurately reflecting all key claims including meeting context, participant roles, detailed topic coverage, data points, enforcement processes, legal interpretations, community concerns, and board decisions. There are no unsupported additions, fabrications, or contradictions, and the certainty levels match the ground truth without unjustified upgrades.","The actual summary comprehensively includes all key facts, actions, and decisions from the expected summary, such as detailed participant contributions, enforcement data, program descriptions, and board reflections. Dates and quantities like the 2022 PIT count (346 individuals, 43% decrease), $11 million investment, and February 14 safe parking expansion are accurately reflected. The summary captures the nuanced enforcement process, legal interpretations, outreach efforts, and community concerns, demonstrating strong alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_10062873984778850834470432363897468907/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_10062873984778850834470432363897468907/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_10062873984778850834470432363897468907/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_106635199576481410273141760874457477490,gpt-41-mini,0.900,0.900,0.852,0.752,0.703,+0.048,+0.197,"The Actual Output closely aligns with the Expected Output, accurately reflecting key topics, participants, decisions, and detailed content such as meeting context, remote meeting discussions, public health concerns, monthly reports, hearing procedure amendments, tenant relocation updates, the 2023 work plan, and outreach activities. It includes all major points without fabrications or contradictions. Minor differences include some added narrative phrasing and slight summarization, but no unsupported claims or unjustified certainty upgrades are present.","The actual summary comprehensively covers all key topics, decisions, and participant contributions outlined in the expected output, including meeting context, remote meeting authorization, public health concerns, detailed monthly status report data, amendments to hearing procedures, tenant relocation updates, and the 2023 work plan discussion. It accurately reflects decisions such as continuing virtual meetings with the correct vote count and adoption of hearing procedure amendments with the noted abstention. Dates and quantities, such as the state of emergency expiration, mediation numbers, vacancy rates, and relocation project details, are correctly included. Minor omissions include explicit mention of consent calendar approvals and some participant roll call details, but these do not significantly detract from the overall alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_106635199576481410273141760874457477490/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_106635199576481410273141760874457477490/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_106635199576481410273141760874457477490/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_106635199576481410273141760874457477490,gpt-5-mini,0.902,0.900,0.824,0.819,0.806,+0.078,+0.094,"The Actual Output closely aligns with the Expected Output, accurately reflecting meeting context, participants, topics, and decisions without fabrications or contradictions. It includes detailed summaries of discussions, votes, and updates consistent with the ground truth. Minor deviations include some additional phrasing and slight reorganization but no unsupported claims or unjustified certainty upgrades, resulting in strong overall alignment.","The actual summary comprehensively covers all key facts, actions, and decisions from the expected output, including participant names, meeting context, detailed topic discussions, and vote outcomes. Dates and quantities such as the vacate dates, number of units, and attendance figures are accurately reflected. Minor omissions include the absence of explicit mention of consent calendar approvals and some specific agenda items like the exact time of meeting start, but these do not significantly detract from the overall completeness and accuracy.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_106635199576481410273141760874457477490/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_106635199576481410273141760874457477490/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_106635199576481410273141760874457477490/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_106635199576481410273141760874457477490,gpt-51,0.998,0.973,0.818,0.875,0.972,+0.180,+0.001,"The Actual Output thoroughly aligns with the Expected Output, accurately reflecting all key topics, participant contributions, decisions, and detailed data without unsupported additions or fabrications. The level of detail and certainty in the Actual Output is fully justified by the ground truth, with no contradictions or unjustified certainty upgrades.","The actual summary comprehensively includes all key facts, actions, and decisions from the expected output, such as consent approvals, detailed debate on meeting formats with correct vote counts, public comments on COVID risks, the September 2022 status report with accurate data and metrics, adoption of compliance hearing procedures with burden of proof and notice requirements, detailed tenant relocation and SB 330 updates with project specifics and income thresholds, the 2023 work plan discussion with RUBS and tenant/master-tenant topics, outreach activities, and meeting adjournment details. Dates, quantities, and participant names are correctly reflected, and all decisions are accurately captured, demonstrating strong alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_106635199576481410273141760874457477490/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_106635199576481410273141760874457477490/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_106635199576481410273141760874457477490/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_108288233306293829791253295282411673750,gpt-41-mini,0.752,0.819,0.736,0.786,0.773,+0.016,+0.046,"The Actual Output aligns well with the Expected Output by covering key topics such as the Friendly Voices presentation, Senior Survey Committee update, Communications Subcommittee, and Senior Center updates with accurate participant details and meeting context. However, it introduces unsupported details like the abstention being from Ish Irigon (contradicted by the Expected Output where Ish seconded the motion), and omits some specifics such as the grant source (Joseph and Vera Long Foundation) and detailed survey participant numbers. The Actual Output also upgrades some certainty (e.g., specific names and dates) without explicit support in the Expected Output, and lacks mention of some decisions and participant feedback present in the ground truth.","The actual summary includes most key facts such as approval of previous minutes, Friendly Voices presentation with current service numbers and expansion plans, challenges in outreach, Ish Sinha's advocacy for a friendly visitors program, Senior Survey Committee's discussion of CASOA survey costs and City Council approval, and Senior Center updates including new coordinator, workshops, holiday bazaar, and virtual meeting continuation. However, it omits some specific details like the exact grant name (Joseph and Vera Long Foundation), the waitlist reopening date (November 1st), detailed volunteer call procedures, the exact number of vendors at the bazaar, and the formal motions and participant names in the approval of minutes. These omissions reduce completeness but do not constitute major critical information loss.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_108288233306293829791253295282411673750/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_108288233306293829791253295282411673750/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_108288233306293829791253295282411673750/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_108288233306293829791253295282411673750,gpt-5-mini,0.895,0.900,0.500,0.857,0.864,+0.395,+0.036,"The Actual Output closely aligns with the Expected Output, accurately reflecting key details such as the approval of July 20 minutes, Friendly Voices' service capacity and grant plans, outreach challenges, and subcommittee updates. It includes all major participants and topics without fabrications or contradictions. Minor discrepancies include additional procedural details (e.g., vote abstention specifics) and some expanded narrative on outreach suggestions and subcommittee discussions not explicitly detailed in the Expected Output, which slightly reduces the score due to unsupported additions. No unjustified certainty upgrades are present.","The actual summary comprehensively covers all key facts, actions, decisions, dates, and quantities from the expected output, including the approval of minutes, Friendly Voices presentation details, outreach suggestions, subcommittee updates, senior survey proposal, and Senior Center updates. It accurately reflects participant contributions and meeting context without distortion. Minor omissions include the specific mention of the Joseph and Vera Long Foundation as the grant source and the reopening enrollment date of November 1st, which slightly reduces completeness but does not significantly impact overall accuracy.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_108288233306293829791253295282411673750/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_108288233306293829791253295282411673750/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_108288233306293829791253295282411673750/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_108288233306293829791253295282411673750,gpt-51,0.978,0.944,0.538,0.901,0.955,+0.440,-0.011,"The Actual Output thoroughly aligns with the Expected Output, accurately reflecting all key details such as the approval of July 20 minutes, Friendly Voices' current capacity and expansion plans, outreach suggestions, CASOA survey considerations including cost and City Council approval, Communications Subcommittee status, Senior Center updates, and meeting adjournment. There are no unsupported claims, fabrications, or unjustified certainty upgrades, demonstrating strong fidelity to the ground truth.","The actual summary comprehensively covers all major topics and key actions from the expected output, including approval of minutes, detailed Friendly Voices presentation with capacity and outreach plans, Communications and Senior Survey subcommittee updates with CASOA survey details and costs, Senior Center staffing and event updates, and meeting adjournment. Dates, quantities, and decisions such as the $20,000 survey cost, 70 seniors served with plans to triple capacity, and virtual meeting continuation into 2023 are accurately reflected. Minor omissions include the specific mention of the November 1 reopening of enrollment for Friendly Voices and some finer details about the CASOA survey methodology and senior population size, but these do not constitute major critical information gaps.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_108288233306293829791253295282411673750/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_108288233306293829791253295282411673750/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_108288233306293829791253295282411673750/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_1104047888607550073732755348065275078,gpt-41-mini,0.792,0.790,0.417,0.724,0.712,+0.375,+0.078,"The Actual Output accurately reflects the key elements of the Expected Output, including the interview process, question modification for incumbents, applicant backgrounds, views on the General Plan, balancing property rights and community benefits, and Council deliberations with voting outcomes. However, it introduces some unsupported details such as specific mentions of Mayor Ramirez and Council Member Matichak roles, and omits explicit references to the remote meeting format, public access, and exact voting procedures. There is no fabrication or contradiction, but some certainty upgrades and additional narrative details not grounded in the Expected Output slightly reduce alignment.","The actual summary includes all major facts such as the special meeting to interview seven EPC applicants, modification of the first question for incumbents, diverse applicant backgrounds, discussion of the General Plan and property rights balance, and the Council's voting process favoring reappointment of incumbents Cranston and Gutierrez with plans for a second voting round. However, it omits specific details like the exact voting method (tally voting), the formal resolution date (December 13, 2022), the remote meeting context, and the full list of participants, which are critical in the expected output. These omissions reduce completeness despite strong coverage of key actions and decisions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_1104047888607550073732755348065275078/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_1104047888607550073732755348065275078/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_1104047888607550073732755348065275078/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
